Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	diversification	extant_mrca	extinction_rate	speciation_rate	turnover
200	0	-5874.811	-5863.599	-11.21192	1.842692	0.03119069	1.847009	0.02781949	0.05901019	0.4714355
201	1	-5873.445	-5861.788	-11.65619	1.840834	-0.130988	1.843419	0.142603	0.01161497	12.27752
202	0	-5873.831	-5862.708	-11.12334	1.842692	0.03981478	1.842809	0.01795088	0.05776567	0.3107535
203	1	-5877.086	-5865.974	-11.11169	1.852476	-0.05730032	1.861112	0.06178013	0.004479805	13.79081
204	0	-5874.444	-5863.478	-10.96523	1.842692	-0.009647539	1.842809	0.03098875	0.02134121	1.452061
205	1	-5878.253	-5867.051	-11.20185	1.852476	0.04867955	1.852839	0.01721171	0.06589126	0.2612139
206	0	-5874.719	-5861.451	-13.26792	1.842692	-0.003055883	1.847347	0.1869025	0.1838467	1.016622
207	1	-5872.018	-5861.202	-10.81612	1.852476	-0.00811044	1.852839	0.0168592	0.008748755	1.927039
208	0	-5877.569	-5865.756	-11.813	1.842692	-0.06537913	1.884196	0.1117824	0.04640326	2.408934
209	1	-5875.821	-5864.554	-11.26697	1.852476	0.0794108	1.858806	0.005612191	0.08502299	0.06600792
210	0	-5876.938	-5864.242	-12.6965	1.842692	0.233609	1.844472	0.03326652	0.2668755	0.1246518
211	1	-5872.453	-5861.396	-11.05736	1.852476	-0.04289761	1.858806	0.05103244	0.008134833	6.273324
212	0	-5875.47	-5863.819	-11.65098	1.842692	0.08244176	1.850014	0.03329786	0.1157396	0.2876963
213	1	-5874.757	-5862.217	-12.53999	1.852476	0.0393871	1.866303	0.1141717	0.1535588	0.7435047
214	0	-5873.623	-5860.544	-13.07878	1.842692	0.2012806	1.848364	0.07377147	0.2750521	0.2682091
215	1	-5874.764	-5863.576	-11.18836	1.852476	-0.06774468	1.866303	0.07167315	0.003928462	18.24458
216	0	-5877.814	-5864.976	-12.83791	1.842692	-0.2283778	1.860385	0.2709474	0.04256962	6.364807
217	1	-5874.701	-5862.872	-11.82877	1.852476	-0.1474645	1.857064	0.1607282	0.01326364	12.11795
218	0	-5876.742	-5864.37	-12.372	1.842692	0.07877958	1.866261	0.08242832	0.1612079	0.5113169
219	1	-5874.87	-5862.662	-12.20852	1.852476	0.2034063	1.857064	0.01283432	0.2162406	0.05935202
220	0	-5877.543	-5863.801	-13.74201	1.842692	0.1942577	1.867028	0.1181369	0.3123946	0.3781656
221	1	-5883.552	-5870.586	-12.96651	1.852476	0.2253542	1.875332	0.05082914	0.2761833	0.1840413
222	0	-5875.26	-5861.718	-13.5419	1.842692	-0.2730412	1.843614	0.3432562	0.070215	4.888645
223	1	-5877.29	-5865.245	-12.04551	1.852476	-0.04479573	1.861812	0.1227867	0.07799096	1.574371
224	0	-5876.428	-5863.529	-12.89861	1.842692	-0.3306679	1.843614	0.3311079	0.0004399688	752.5712
225	1	-5873.799	-5862.81	-10.98884	1.852476	0.04379856	1.861812	0.00190793	0.04570649	0.04174308
226	0	-5876.143	-5863.8	-12.34308	1.842692	-0.1333954	1.870313	0.1864455	0.05305011	3.514517
227	1	-5877.311	-5863.752	-13.55907	1.852476	0.3173507	1.872245	0.04683506	0.3641857	0.1286021
228	0	-5874.767	-5861.914	-12.8535	1.842953	-0.08303747	1.851225	0.1989648	0.1159273	1.716289
229	1	-5876.76	-5863.748	-13.01235	1.852476	-0.2933065	1.854392	0.3180977	0.02479116	12.83109
230	0	-5873.959	-5862.115	-11.84382	1.842953	0.05850489	1.854883	0.05787897	0.1163839	0.497311
231	1	-5876.846	-5862.508	-14.33809	1.852476	-0.08283085	1.852478	0.296961	0.2141301	1.386825
